"site_name","resolution","date","GPP","GPP.lower","GPP.upper","GPP.n_eff","GPP.Rhat","ER","ER.lower","ER.upper","ER.n_eff","ER.Rhat","K600","K600.lower","K600.upper","K600.n_eff","K600.Rhat","DO.obs","DO.sat","DO.amp","DO.psat","depth","temp.water","day.length","discharge","shortwave","velocity","DO.tdist80","light_umolm2s","light_rel","storm_id","GPP_daily_sd","ER_daily_sd"
"nwis_01608500",30,2012-04-05,8.7550885339927,7.81279767972707,9.67596587579035,2000,1.00112283889136,-3.65945400762144,-5.09475884110321,-2.22077658033064,2000,0.998927819265442,3.01745370310887,2.40295538746828,3.64419273188612,2000,0.998783732855312,10.6916666666667,9.71417154435532,35.5657118602157,110.234098706422,1.63214507556313,15.0666666666667,12,30.68838293625,251.849375,0.180151040958372,8876.96924820955,54.74953563125,0.710276702465538,2,0.482355893037712,0.750772312380074
"nwis_01608500",30,2012-04-06,8.30352886551577,7.34304887255955,9.24612299266994,2000,0.99981674461425,-3.3766434696466,-4.85525962693403,-1.90959642337285,2000,0.998294226027951,3.10274332298397,2.46745537556524,3.77462560477659,2000,0.998452808944421,10.88125,9.88853941667895,34.2523576072455,110.254806453242,1.56714139916142,14.5333333333333,12,28.35224305875,268.834416666667,0.174118798423442,8462.84667230784,58.4419138391667,0.762591676749591,2,0.482286281710025,0.752983312146382
"nwis_01608500",30,2012-04-07,8.38727206305459,7.45825362480785,9.29961094936543,2000,0.999104673251738,-2.97719400299046,-4.51221226700618,-1.36277693486479,2000,0.99839481146444,3.18574724179686,2.53432847126634,3.84543846683797,2000,0.998793905283978,11.1916666666667,10.0542395397798,35.6684487145601,111.540426002897,1.50072487580184,13.9104166666667,13,26.05857845175,272.804875,0.167913321805625,8081.9511868729,59.30505177625,0.774820932919852,2,0.469914288317546,0.803923833170604
"nwis_01608500",30,2012-04-08,7.40614495962436,6.57892598553047,8.25513477721241,2000,0.998890474140058,-3.00196213520131,-4.53004805402853,-1.50635441185115,2000,1.00018944833539,2.87378864137906,2.22903311718704,3.55615410536907,2000,0.998798348433363,11.2333333333333,10.0374821768479,35.4120248376875,112.129787696732,1.4340760337945,13.66875,13,23.84986438575,193.39225,0.161642126727263,8680.76113092264,42.0415412275,0.530225157634985,2,0.425925645451032,0.766957230383665
"nwis_01608500",30,2012-04-09,6.75916961109584,5.84877561735764,7.60868793212317,2000,1.00129800210643,-3.19032119051287,-4.63430167353455,-1.76753028937147,2000,0.999352683635016,2.78157198576987,1.96267313246699,3.58649707799072,2000,1.00183838224007,11.1479166666667,10.2079438832301,30.5827145807503,109.303447840853,1.38369844569165,12.7145833333333,12.5,22.2434732528125,244.00175,0.156870693367517,8930.78531606276,53.0435404325,0.686105534203314,2,0.451005120522361,0.756945658730192
"nwis_01608500",30,2012-04-10,7.77749318937043,6.88522889798541,8.63821749190022,2000,0.998764463651992,-3.10897050027696,-4.71710472582512,-1.54127368447491,2000,0.998671847022969,2.85205299803145,2.16474335632736,3.57265185452336,2000,0.998975219881939,11.5375,10.2539449155931,34.8443836253654,112.722700048624,1.3525450119754,12.54375,12.5,21.276570914625,204.450041666667,0.153906425770326,8585.1710096513,44.4453945579167,0.564283836914847,2,0.456405158378619,0.796604137503834
"nwis_01608500",30,2012-04-11,7.36176717081484,6.35613205306186,8.33576492782332,2000,0.998886278195586,-1.21803853662383,-2.69136644935832,0.29167415249672,2000,0.998745858520935,4.58120780902876,3.61269393480806,5.54810037141823,2000,0.998541097773998,11.63125,10.5351499806714,31.5421228751595,110.507425220681,1.32557015829344,11.5666666666667,12.5,20.4589219575,147.946458333333,0.15132936966821,5396.98493188765,32.1620805770833,0.390249320718084,2,0.518560163925861,0.758866829450162
"nwis_01608500",30,2012-04-12,8.40792179266748,7.51505755019253,9.36489514379535,2000,0.998607596163964,-2.64043834780835,-4.37892538035478,-0.881117603626251,2000,1.00029774505544,3.0634511137369,2.36628399684516,3.77221996236351,2000,0.999795086728014,12.2,10.5642906604432,38.8419093554068,115.666715183404,1.28684811695926,11.66875,12.5,19.30972991675,228.222458333333,0.147604572181598,7850.28290902643,49.6132802170833,0.637504344170187,2,0.473870501124168,0.87667550988846
"nwis_01608500",30,2012-04-13,9.88817123382296,8.91761780252519,10.8527875572034,2000,0.999491935805032,-1.79947575433896,-3.50953137487128,-0.212472690345266,2000,1.0000664508652,3.64532484015067,3.07265425608591,4.21020088073702,2000,0.999036806120669,12.3354166666667,10.2919305565235,47.8442986890152,120.231770379277,1.25590092357487,12.9625,12.5,18.415389499,275.433458333333,0.144635884880187,6241.13858768757,59.8764795070833,0.782917131456514,2,0.483738282689318,0.84987129280168
"nwis_01608500",30,2012-04-14,10.4770325059212,9.54337594599892,11.4329344699485,2000,0.999587832285967,-4.335301464286,-5.98432526963682,-2.70313906217931,2000,0.999510298896901,3.40967477754138,2.80379041364632,4.01935810461601,2000,0.998749677893044,11.8666666666667,10.0263570420382,46.8904917942677,118.552386817081,1.22160100903117,13.9729166666667,12.5,17.4478972265,198.684375,0.141318485747052,6344.55713427329,43.19199628125,0.546525228527736,2,0.487064410009469,0.858867181137614
